,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('audioMute',)","('audioVolume',)","('switch',)","('tvChannel',)","('mediaInputSource',)","('audioMute',)","('audioVolume',)","('switch',)","('tvChannel',)","('mediaInputSource',)",cmds,length,time,memory_num,visited_num
0,"('muted',)","(79,)","('on',)","(0,)","('digitalTv',)","('muted',)","(65,)","('on',)","(0,)","('digitalTv',)",['setVolume:65'],1,0.0010333061218261719,140,139
1,"('unmuted',)","(16,)","('off',)","(581,)","('digitalTv',)","('unmuted',)","(16,)","('on',)","(581,)","('digitalTv',)",['switch on'],1,8.511543273925781e-05,2,1
2,"('muted',)","(33,)","('off',)","(751,)","('digitalTv',)","('muted',)","(33,)","('on',)","(751,)","('digitalTv',)",['switch on'],1,7.748603820800781e-05,2,1
3,"('unmuted',)","(34,)","('on',)","(0,)","('HDMI2',)","('unmuted',)","(100,)","('on',)","(0,)","('HDMI2',)",['setVolume:100'],1,0.0007243156433105469,106,105
4,"('muted',)","(60,)","('on',)","(0,)","('digitalTv',)","('muted',)","(28,)","('on',)","(0,)","('digitalTv',)",['setVolume:28'],1,0.0009560585021972656,140,139
5,"('muted',)","(0,)","('off',)","(0,)","('HDMI2',)","('muted',)","(0,)","('on',)","(0,)","('HDMI2',)",['switch on'],1,7.62939453125e-05,2,1
6,"('unmuted',)","(78,)","('off',)","(0,)","('digitalTv',)","('unmuted',)","(78,)","('on',)","(0,)","('digitalTv',)",['switch on'],1,7.700920104980469e-05,2,1
7,"('muted',)","(36,)","('on',)","(0,)","('digitalTv',)","('muted',)","(89,)","('on',)","(0,)","('digitalTv',)",['setVolume:89'],1,0.0009613037109375,140,139
8,"('muted',)","(43,)","('off',)","(0,)","('digitalTv',)","('muted',)","(43,)","('on',)","(0,)","('digitalTv',)",['switch on'],1,7.557868957519531e-05,2,1
9,"('muted',)","(37,)","('on',)","(0,)","('HDMI2',)","('muted',)","(20,)","('on',)","(0,)","('HDMI2',)",['setVolume:20'],1,0.0007317066192626953,106,105
