,prev,prev,prev,prev,prev,prev,next,next,next,next,next,next,plan,plan,plan,plan,plan
,"('custom.periodicSensing_periodicSensing',)","('custom.doNotDisturbMode',)","('custom.periodicSensing_automaticExecutionMode',)","('custom.periodicSensing_periodicSensingInterval',)","('switch',)","('airConditionerFanMode',)","('custom.periodicSensing_periodicSensing',)","('custom.doNotDisturbMode',)","('custom.periodicSensing_automaticExecutionMode',)","('custom.periodicSensing_periodicSensingInterval',)","('switch',)","('airConditionerFanMode',)",cmds,length,time,memory_num,visited_num
0,"('on',)","('off',)","('airpurify',)","(825,)","('on',)","('smart',)","('on',)","('off',)","('airpurify',)","(813,)","('on',)","('smart',)","[""setPeriodicSensing:('on', 813)""]",1,0.058485984802246094,7209,7208
1,"('on',)","('off',)","('alarm',)","(1616,)","('on',)","('max',)","('on',)","('off',)","('alarm',)","(2194,)","('on',)","('max',)","[""setPeriodicSensing:('on', 2194)""]",1,0.0580899715423584,7209,7208
2,"('on',)","('on',)","('airpurify',)","(1489,)","('on',)","('max',)","('on',)","('on',)","('airpurify',)","(1454,)","('on',)","('max',)","[""setPeriodicSensing:('on', 1454)""]",1,0.05808663368225098,7209,7208
3,"('on',)","('off',)","('airpurify',)","(2557,)","('off',)","('smart',)","('off',)","('off',)","('airpurify',)","(1634,)","('off',)","('smart',)","[""setPeriodicSensing:('off', 1634)""]",1,0.03988838195800781,4805,4804
4,"('on',)","('on',)","('alarm',)","(913,)","('off',)","('smart',)","('on',)","('on',)","('alarm',)","(2830,)","('off',)","('smart',)","[""setPeriodicSensing:('on', 2830)""]",1,0.05503439903259277,4805,4804
5,"('on',)","('off',)","('alarm',)","(904,)","('on',)","('smart',)","('on',)","('off',)","('alarm',)","(670,)","('on',)","('smart',)","[""setPeriodicSensing:('on', 670)""]",1,0.05749201774597168,7209,7208
6,"('off',)","('on',)","('airpurify',)","(2752,)","('off',)","('smart',)","('on',)","('on',)","('airpurify',)","(1288,)","('off',)","('smart',)","[""setPeriodicSensing:('on', 1288)""]",1,0.03908109664916992,4805,4804
7,"('off',)","('on',)","('airpurify',)","(1228,)","('on',)","('sleep',)","('off',)","('on',)","('airpurify',)","(1437,)","('on',)","('sleep',)","[""setPeriodicSensing:('off', 1437)""]",1,0.05830049514770508,7209,7208
8,"('off',)","('off',)","('airpurify',)","(782,)","('on',)","('smart',)","('on',)","('off',)","('airpurify',)","(1844,)","('on',)","('smart',)","[""setPeriodicSensing:('on', 1844)""]",1,0.05813193321228027,7209,7208
9,"('off',)","('on',)","('alarm',)","(2438,)","('on',)","('smart',)","('on',)","('on',)","('alarm',)","(1165,)","('on',)","('smart',)","[""setPeriodicSensing:('on', 1165)""]",1,0.057726144790649414,7209,7208
