,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)",cmds,length,time,memory_num,visited_num
0,"('off',)","(75,)","(6200,)","(37,)","(0,)","('on',)","(9,)","(7700,)","(4,)","(0,)","['setLevel:9', 'setColorTemperature:7700', 'setHue:4']",3,0.01690959930419922,2570,2596
1,"('on',)","(17,)","(6100,)","(53,)","(0,)","('on',)","(17,)","(6100,)","(0,)","(43,)",['setSaturation:43'],1,0.002405405044555664,369,371
2,"('on',)","(56,)","(8600,)","(6,)","(0,)","('on',)","(56,)","(8600,)","(63,)","(0,)",['setHue:63'],1,0.002403736114501953,369,371
3,"('off',)","(73,)","(5600,)","(0,)","(73,)","('on',)","(23,)","(5600,)","(0,)","(73,)",['setLevel:23'],1,0.002383708953857422,370,369
4,"('on',)","(34,)","(3300,)","(0,)","(35,)","('on',)","(34,)","(3300,)","(0,)","(81,)",['setSaturation:81'],1,0.0023941993713378906,368,370
5,"('on',)","(14,)","(8100,)","(0,)","(82,)","('on',)","(91,)","(8100,)","(0,)","(93,)","['setLevel:91', 'setSaturation:93']",2,0.007119178771972656,1100,1110
6,"('off',)","(55,)","(8100,)","(61,)","(0,)","('on',)","(55,)","(6300,)","(0,)","(35,)","['setSaturation:35', 'setColorTemperature:6300']",2,0.004767894744873047,738,740
7,"('off',)","(63,)","(6900,)","(0,)","(31,)","('on',)","(37,)","(6900,)","(70,)","(0,)","['setHue:70', 'setLevel:37']",2,0.004735469818115234,738,740
8,"('on',)","(57,)","(6900,)","(0,)","(53,)","('on',)","(8,)","(6900,)","(0,)","(15,)","['setSaturation:15', 'setLevel:8']",2,0.00471186637878418,734,740
9,"('on',)","(89,)","(3100,)","(0,)","(22,)","('on',)","(89,)","(3100,)","(84,)","(0,)",['setHue:84'],1,0.002405405044555664,368,370
10,"('on',)","(98,)","(7500,)","(0,)","(2,)","('on',)","(98,)","(7100,)","(0,)","(98,)","['setColorTemperature:7100', 'setSaturation:98']",2,0.004757881164550781,734,740
11,"('off',)","(26,)","(3400,)","(91,)","(0,)","('on',)","(99,)","(3400,)","(0,)","(9,)","['setSaturation:9', 'setLevel:99']",2,0.004807233810424805,738,740
12,"('off',)","(27,)","(2500,)","(23,)","(0,)","('on',)","(54,)","(2500,)","(76,)","(0,)","['setLevel:54', 'setHue:76']",2,0.007137775421142578,1107,1112
13,"('off',)","(79,)","(2800,)","(40,)","(0,)","('on',)","(1,)","(3300,)","(0,)","(96,)","['setSaturation:96', 'setLevel:1', 'setColorTemperature:3300']",3,0.007088184356689453,1104,1109
14,"('off',)","(96,)","(6700,)","(21,)","(0,)","('on',)","(96,)","(6700,)","(71,)","(0,)",['setHue:71'],1,0.00246429443359375,371,370
15,"('off',)","(80,)","(6500,)","(80,)","(0,)","('on',)","(76,)","(6500,)","(90,)","(0,)","['setLevel:76', 'setHue:90']",2,0.004790782928466797,739,741
16,"('off',)","(41,)","(2200,)","(1,)","(0,)","('on',)","(90,)","(2200,)","(57,)","(0,)","['setLevel:90', 'setHue:57']",2,0.007101297378540039,1106,1109
17,"('off',)","(34,)","(4700,)","(0,)","(27,)","('on',)","(34,)","(3200,)","(77,)","(0,)","['setHue:77', 'setColorTemperature:3200']",2,0.004811286926269531,738,740
18,"('on',)","(83,)","(7200,)","(79,)","(0,)","('on',)","(83,)","(8000,)","(0,)","(56,)","['setSaturation:56', 'setColorTemperature:8000']",2,0.004769563674926758,735,741
19,"('on',)","(20,)","(2200,)","(0,)","(14,)","('on',)","(40,)","(8200,)","(0,)","(14,)","['setLevel:40', 'setColorTemperature:8200']",2,0.007096767425537109,1100,1108
