,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('audioMute',)","('audioVolume',)","('switch',)","('tvChannel',)","('mediaInputSource',)","('audioMute',)","('audioVolume',)","('switch',)","('tvChannel',)","('mediaInputSource',)",cmds,length,time,memory_num,visited_num
0,"('unmuted',)","(14,)","('off',)","(0,)","('digitalTv',)","('unmuted',)","(14,)","('on',)","(0,)","('digitalTv',)",['switch on'],1,8.58306884765625e-05,0,1
1,"('muted',)","(33,)","('on',)","(655,)","('digitalTv',)","('muted',)","(33,)","('on',)","(648,)","('digitalTv',)",['setTvChannel:648'],1,0.0008168220520019531,121,124
2,"('muted',)","(61,)","('on',)","(0,)","('digitalTv',)","('muted',)","(64,)","('on',)","(0,)","('digitalTv',)",['setVolume:64'],1,0.0004241466522216797,63,64
3,"('unmuted',)","(81,)","('off',)","(832,)","('digitalTv',)","('unmuted',)","(81,)","('on',)","(832,)","('digitalTv',)",['switch on'],1,8.296966552734375e-05,0,1
4,"('muted',)","(19,)","('off',)","(0,)","('HDMI2',)","('muted',)","(19,)","('on',)","(0,)","('HDMI2',)",['switch on'],1,7.605552673339844e-05,0,1
5,"('muted',)","(17,)","('off',)","(581,)","('digitalTv',)","('muted',)","(17,)","('on',)","(581,)","('digitalTv',)",['switch on'],1,7.677078247070312e-05,0,1
6,"('muted',)","(26,)","('on',)","(0,)","('digitalTv',)","('muted',)","(25,)","('on',)","(0,)","('digitalTv',)",['setVolume:25'],1,0.00021767616271972656,25,26
7,"('muted',)","(14,)","('off',)","(655,)","('digitalTv',)","('muted',)","(14,)","('on',)","(655,)","('digitalTv',)",['switch on'],1,8.273124694824219e-05,0,1
8,"('muted',)","(12,)","('off',)","(518,)","('digitalTv',)","('muted',)","(12,)","('on',)","(518,)","('digitalTv',)",['switch on'],1,8.225440979003906e-05,0,1
9,"('unmuted',)","(57,)","('off',)","(0,)","('HDMI2',)","('unmuted',)","(57,)","('on',)","(0,)","('HDMI2',)",['switch on'],1,7.677078247070312e-05,0,1
