,prev,prev,prev,prev,prev,prev,next,next,next,next,next,next,plan,plan,plan,plan,plan
,"('custom.periodicSensing_periodicSensing',)","('custom.doNotDisturbMode',)","('custom.periodicSensing_automaticExecutionMode',)","('custom.periodicSensing_periodicSensingInterval',)","('switch',)","('airConditionerFanMode',)","('custom.periodicSensing_periodicSensing',)","('custom.doNotDisturbMode',)","('custom.periodicSensing_automaticExecutionMode',)","('custom.periodicSensing_periodicSensingInterval',)","('switch',)","('airConditionerFanMode',)",cmds,length,time,memory_num,visited_num
0,"('off',)","('on',)","('alarm',)","(2490,)","('on',)","('smart',)","('on',)","('on',)","('alarm',)","(2175,)","('on',)","('smart',)","[""setPeriodicSensing:('on', 2175)""]",1,0.09769892692565918,3982,3983
1,"('off',)","('off',)","('airpurify',)","(1505,)","('on',)","('smart',)","('on',)","('off',)","('airpurify',)","(1086,)","('on',)","('smart',)","[""setPeriodicSensing:('on', 1086)""]",1,0.06057548522949219,2893,2894
2,"('off',)","('off',)","('alarm',)","(1793,)","('on',)","('smart',)","('on',)","('off',)","('alarm',)","(1329,)","('on',)","('smart',)","[""setPeriodicSensing:('on', 1329)""]",1,0.06567072868347168,3136,3137
3,"('on',)","('on',)","('airpurify',)","(2828,)","('on',)","('smart',)","('off',)","('on',)","('airpurify',)","(1555,)","('on',)","('smart',)","[""setPeriodicSensing:('off', 1555)""]",1,0.11348628997802734,3362,5763
4,"('on',)","('on',)","('alarm',)","(2017,)","('off',)","('smart',)","('off',)","('on',)","('alarm',)","(1872,)","('off',)","('smart',)","[""setPeriodicSensing:('off', 1872)""]",1,0.08589768409729004,3675,3676
5,"('on',)","('on',)","('alarm',)","(2320,)","('off',)","('smart',)","('on',)","('on',)","('alarm',)","(1463,)","('off',)","('smart',)","[""setPeriodicSensing:('on', 1463)""]",1,0.00926065444946289,866,867
6,"('off',)","('on',)","('airpurify',)","(2918,)","('on',)","('windfree',)","('off',)","('on',)","('airpurify',)","(629,)","('on',)","('windfree',)",['setPeriodicSensingInterval:629'],1,0.00035500526428222656,34,35
7,"('on',)","('on',)","('alarm',)","(2482,)","('on',)","('smart',)","('off',)","('on',)","('alarm',)","(2996,)","('on',)","('smart',)","[""setPeriodicSensing:('off', 2996)""]",1,0.17411231994628906,4802,7204
8,"('on',)","('on',)","('alarm',)","(1337,)","('off',)","('smart',)","('on',)","('on',)","('alarm',)","(2016,)","('off',)","('smart',)","[""setPeriodicSensing:('on', 2016)""]",1,0.01926708221435547,1418,1419
9,"('on',)","('on',)","('alarm',)","(642,)","('off',)","('smart',)","('off',)","('on',)","('alarm',)","(944,)","('off',)","('smart',)","[""setPeriodicSensing:('off', 944)""]",1,0.05832624435424805,2746,2748
