,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)",cmds,length,time,memory_num,visited_num
0,"('on',)","(99,)","(5600,)","(64,)","(0,)","('on',)","(53,)","(5600,)","(64,)","(0,)",['setLevel:53'],1,0.0004296302795410156,53,55
1,"('on',)","(72,)","(6900,)","(84,)","(0,)","('on',)","(30,)","(6900,)","(84,)","(0,)",['setLevel:30'],1,0.00026106834411621094,30,32
2,"('on',)","(5,)","(8800,)","(0,)","(64,)","('on',)","(12,)","(8800,)","(0,)","(64,)",['setLevel:12'],1,0.0001537799835205078,11,14
3,"('off',)","(87,)","(3200,)","(0,)","(82,)","('on',)","(87,)","(3200,)","(62,)","(0,)",['setHue:62'],1,0.0015480518341064453,228,231
4,"('off',)","(87,)","(8300,)","(20,)","(0,)","('on',)","(87,)","(8300,)","(32,)","(0,)",['setHue:32'],1,0.0013184547424316406,198,202
5,"('off',)","(20,)","(5000,)","(0,)","(73,)","('on',)","(20,)","(5000,)","(83,)","(0,)",['setHue:83'],1,0.0016918182373046875,249,252
6,"('off',)","(63,)","(5200,)","(0,)","(37,)","('on',)","(63,)","(2800,)","(0,)","(37,)",['setColorTemperature:2800'],1,0.000720977783203125,106,108
7,"('off',)","(27,)","(2600,)","(69,)","(0,)","('on',)","(95,)","(2600,)","(69,)","(0,)",['setLevel:95'],1,0.0006418228149414062,94,96
8,"('on',)","(57,)","(3700,)","(0,)","(21,)","('on',)","(57,)","(3700,)","(0,)","(59,)",['setSaturation:59'],1,0.0022704601287841797,324,329
9,"('on',)","(57,)","(2400,)","(0,)","(11,)","('on',)","(57,)","(8000,)","(0,)","(11,)",['setColorTemperature:8000'],1,0.0010571479797363281,157,161
