,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('samsungce.robotCleanerOperatingState',)","('custom.doNotDisturb',)","('robotCleanerTurboMode',)","('audioMute',)","('audioVolume',)","('samsungce.robotCleanerOperatingState',)","('custom.doNotDisturb',)","('robotCleanerTurboMode',)","('audioMute',)","('audioVolume',)",cmds,length,time,memory_num,visited_num
0,"('paused',)","('on',)","('on',)","('unmuted',)","(0,)","('paused',)","('on',)","('on',)","('muted',)","(0,)",['mute'],1,0.00012564659118652344,5,7
1,"('paused',)","('off',)","('silence',)","('unmuted',)","(60,)","('paused',)","('off',)","('silence',)","('muted',)","(0,)",['setVolume:0'],1,8.249282836914062e-05,0,1
2,"('paused',)","('off',)","('silence',)","('unmuted',)","(0,)","('cleaning',)","('on',)","('silence',)","('unmuted',)","(0,)",['doNotDisturbOff'],1,0.0001595020294189453,10,15
3,"('cleaning',)","('off',)","('on',)","('unmuted',)","(0,)","('cleaning',)","('off',)","('off',)","('unmuted',)","(0,)",['setRobotCleanerTurboMode:off'],1,0.00013494491577148438,7,10
4,"('charging',)","('off',)","('silence',)","('unmuted',)","(80,)","('cleaning',)","('off',)","('silence',)","('unmuted',)","(80,)",['setRobotCleanerMovement:cleaning'],1,0.0001437664031982422,8,13
5,"('paused',)","('on',)","('silence',)","('unmuted',)","(40,)","('paused',)","('on',)","('silence',)","('unmuted',)","(20,)",['setVolume:20'],1,8.58306884765625e-05,1,2
6,"('cleaning',)","('on',)","('silence',)","('muted',)","(0,)","('cleaning',)","('on',)","('silence',)","('unmuted',)","(40,)",['setVolume:40'],1,9.059906005859375e-05,1,2
7,"('cleaning',)","('on',)","('on',)","('unmuted',)","(0,)","('paused',)","('on',)","('on',)","('unmuted',)","(0,)",['setRobotCleanerMovement:pause'],1,0.00014257431030273438,9,12
8,"('paused',)","('off',)","('off',)","('unmuted',)","(20,)","('paused',)","('off',)","('on',)","('unmuted',)","(20,)",['setRobotCleanerTurboMode:on'],1,0.00013208389282226562,6,11
9,"('charging',)","('off',)","('off',)","('unmuted',)","(0,)","('cleaning',)","('on',)","('off',)","('unmuted',)","(0,)",['doNotDisturbOff'],1,0.00016069412231445312,10,15
