,prev,prev,prev,prev,next,next,next,next,plan,plan,plan,plan,plan
,"('tvChannel', 'mediaInputSource')","('audioMute',)","('audioVolume',)","('switch',)","('tvChannel', 'mediaInputSource')","('audioMute',)","('audioVolume',)","('switch',)",cmds,length,time,memory_num,visited_num
0,"(831, 'digitalTv')","('unmuted',)","(7,)","('on',)","(801, 'digitalTv')","('muted',)","(22,)","('off',)","[('setTvChannel>0', 801), ('setVolume>0', 22), ('setMute', 'muted'), ('off', None)]",4,0.008536815643310547,23,53
1,"(0, 'HDMI2')","('unmuted',)","(6,)","('on',)","(0, 'HDMI2')","('unmuted',)","(36,)","('off',)","[('setVolume>0', 36), ('off', None)]",2,0.002716541290283203,37,40
2,"(580, 'digitalTv')","('unmuted',)","(8,)","('off',)","(643, 'digitalTv')","('unmuted',)","(74,)","('off',)","[('on', None), ('setTvChannel>0', 643), ('setVolume>0', 74), ('off', None)]",4,0.008778810501098633,75,95
3,"(580, 'digitalTv')","('unmuted',)","(27,)","('off',)","(0, 'HDMI2')","('unmuted',)","(16,)","('off',)","[('on', None), ('setInputSource>0', 'HDMI2'), ('setVolume>0', 16), ('off', None)]",4,0.010593652725219727,35,56
4,"(833, 'digitalTv')","('unmuted',)","(52,)","('off',)","(0, 'digitalTv')","('muted',)","(82,)","('on',)","[('on', None), ('setTvChannel>0', 0), ('setVolume>0', 82), ('setMute', 'muted')]",4,0.006232500076293945,83,87
5,"(0, 'HDMI2')","('unmuted',)","(15,)","('on',)","(0, 'digitalTv')","('unmuted',)","(17,)","('on',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 0), ('setVolume>0', 17)]",3,0.002325296401977539,18,23
6,"(648, 'digitalTv')","('muted',)","(79,)","('on',)","(517, 'digitalTv')","('muted',)","(50,)","('off',)","[('setTvChannel>0', 517), ('setMute', 'unmuted'), ('setVolume>0', 50), ('setMute', 'muted'), ('off', None)]",5,0.005501985549926758,52,61
7,"(0, 'digitalTv')","('unmuted',)","(73,)","('off',)","(0, 'digitalTv')","('unmuted',)","(4,)","('off',)","[('on', None), ('setVolume>0', 4), ('off', None)]",3,0.0009577274322509766,6,9
8,"(0, 'HDMI2')","('unmuted',)","(40,)","('off',)","(581, 'digitalTv')","('unmuted',)","(85,)","('on',)","[('on', None), ('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 581), ('setVolume>0', 85)]",4,0.00981760025024414,86,106
9,"(0, 'HDMI2')","('unmuted',)","(86,)","('on',)","(0, 'digitalTv')","('muted',)","(56,)","('off',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 0), ('setVolume>0', 56), ('setMute', 'muted'), ('off', None)]",5,0.005273103713989258,58,62
10,"(0, 'digitalTv')","('muted',)","(87,)","('off',)","(839, 'digitalTv')","('muted',)","(42,)","('off',)","[('on', None), ('setTvChannel>0', 505), ('setTvChannel>0', 839), ('setMute', 'unmuted'), ('setVolume>0', 42), ('setMute', 'muted'), ('off', None)]",7,0.018950939178466797,44,120
11,"(0, 'HDMI2')","('unmuted',)","(7,)","('on',)","(0, 'digitalTv')","('muted',)","(54,)","('on',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 0), ('setVolume>0', 54), ('setMute', 'muted')]",4,0.004988908767700195,55,60
12,"(520, 'digitalTv')","('muted',)","(16,)","('on',)","(752, 'digitalTv')","('muted',)","(51,)","('off',)","[('setTvChannel>0', 752), ('setMute', 'unmuted'), ('setVolume>0', 51), ('setMute', 'muted'), ('off', None)]",5,0.00992441177368164,52,83
13,"(0, 'HDMI2')","('muted',)","(39,)","('on',)","(839, 'digitalTv')","('unmuted',)","(78,)","('on',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 839), ('setMute', 'unmuted'), ('setVolume>0', 78)]",4,0.013337373733520508,79,119
14,"(0, 'digitalTv')","('muted',)","(1,)","('off',)","(0, 'digitalTv')","('muted',)","(15,)","('on',)","[('on', None), ('setMute', 'unmuted'), ('setVolume>0', 15), ('setMute', 'muted')]",4,0.002011537551879883,16,22
15,"(0, 'digitalTv')","('unmuted',)","(63,)","('on',)","(643, 'digitalTv')","('unmuted',)","(63,)","('off',)","[('setTvChannel>0', 645), ('off', None)]",2,0.004473686218261719,11,22
16,"(0, 'HDMI2')","('muted',)","(89,)","('off',)","(0, 'HDMI2')","('muted',)","(21,)","('off',)","[('on', None), ('setMute', 'unmuted'), ('setVolume>0', 21), ('setMute', 'muted'), ('off', None)]",5,0.002741098403930664,23,28
17,"(505, 'digitalTv')","('muted',)","(57,)","('on',)","(700, 'digitalTv')","('unmuted',)","(93,)","('off',)","[('setTvChannel>0', 700), ('setMute', 'unmuted'), ('setVolume>0', 93), ('off', None)]",4,0.011541128158569336,94,122
18,"(534, 'digitalTv')","('unmuted',)","(52,)","('on',)","(0, 'digitalTv')","('unmuted',)","(99,)","('on',)","[('setTvChannel>0', 0), ('setVolume>0', 99)]",2,0.006700038909912109,100,103
19,"(524, 'digitalTv')","('unmuted',)","(24,)","('on',)","(0, 'digitalTv')","('muted',)","(61,)","('on',)","[('setTvChannel>0', 0), ('setVolume>0', 61), ('setMute', 'muted')]",3,0.0046613216400146484,62,65
20,"(0, 'digitalTv')","('muted',)","(34,)","('on',)","(516, 'digitalTv')","('muted',)","(87,)","('on',)","[('setTvChannel>0', 516), ('setMute', 'unmuted'), ('setVolume>0', 87), ('setMute', 'muted')]",4,0.0073795318603515625,88,97
