,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('switch', 'airConditionerFanMode')","('custom.periodicSensing_periodicSensing',)","('custom.doNotDisturbMode',)","('custom.periodicSensing_automaticExecutionMode',)","('custom.periodicSensing_periodicSensingInterval',)","('switch', 'airConditionerFanMode')","('custom.periodicSensing_periodicSensing',)","('custom.doNotDisturbMode',)","('custom.periodicSensing_automaticExecutionMode',)","('custom.periodicSensing_periodicSensingInterval',)",cmds,length,time,memory_num,visited_num
0,"('on', 'sleep')","('on',)","('on',)","('airpurify',)","(1735,)","('on', 'smart')","('on',)","('on',)","('alarm',)","(2093,)","[('setPeriodicSensingInterval', 2092), ('setAutomaticExecutionMode', 'alarm'), ('setFanMode>0', 'smart')]",3,0.23882246017456055,1493,1498
1,"('off', 'smart')","('off',)","('on',)","('alarm',)","(1964,)","('on', 'windfree')","('on',)","('off',)","('alarm',)","(713,)","[('on>0', None), ('setPeriodicSensingInterval', 712), ('doNotDisturbOff', None), ('periodicSensingOn', None), ('setFanMode>0', 'windfree')]",5,0.022257328033447266,114,120
2,"('on', 'sleep')","('off',)","('on',)","('airpurify',)","(2921,)","('on', 'smart')","('on',)","('off',)","('airpurify',)","(2680,)","[('setPeriodicSensingInterval', 2679), ('doNotDisturbOff', None), ('periodicSensingOn', None), ('setFanMode>0', 'smart')]",4,0.3277139663696289,2081,2084
3,"('on', 'smart')","('on',)","('on',)","('alarm',)","(709,)","('on', 'windfree')","('on',)","('on',)","('alarm',)","(1264,)","[('setPeriodicSensingInterval', 1263), ('setFanMode>0', 'windfree')]",2,0.10114288330078125,664,670
4,"('on', 'max')","('off',)","('off',)","('alarm',)","(2856,)","('on', 'smart')","('off',)","('off',)","('airpurify',)","(2882,)","[('setPeriodicSensingInterval', 2881), ('setAutomaticExecutionMode', 'airpurify'), ('setFanMode>0', 'smart')]",3,0.34199976921081543,2282,2286
5,"('off', 'smart')","('on',)","('on',)","('alarm',)","(731,)","('off', 'smart')","('off',)","('on',)","('airpurify',)","(2103,)","[('on>0', None), ('setPeriodicSensingInterval', 2102), ('periodicSensingOff', None), ('setAutomaticExecutionMode', 'airpurify'), ('off>0', None)]",5,0.22704029083251953,1503,1512
6,"('on', 'smart')","('on',)","('on',)","('alarm',)","(1149,)","('off', 'smart')","('off',)","('off',)","('airpurify',)","(2352,)","[('setPeriodicSensingInterval', 2351), ('doNotDisturbOff', None), ('periodicSensingOff', None), ('setAutomaticExecutionMode', 'airpurify'), ('off>0', None)]",5,0.26413893699645996,1752,1760
7,"('on', 'sleep')","('on',)","('off',)","('airpurify',)","(2061,)","('on', 'smart')","('on',)","('on',)","('alarm',)","(678,)","[('setPeriodicSensingInterval', 677), ('doNotDisturbOn', None), ('setAutomaticExecutionMode', 'alarm'), ('setFanMode>0', 'smart')]",4,0.013229608535766602,79,83
8,"('off', 'smart')","('off',)","('off',)","('alarm',)","(2981,)","('off', 'smart')","('off',)","('on',)","('airpurify',)","(2137,)","[('on>0', None), ('setPeriodicSensingInterval', 2136), ('doNotDisturbOn', None), ('setAutomaticExecutionMode', 'airpurify'), ('off>0', None)]",5,0.2325277328491211,1538,1546
9,"('on', 'smart')","('on',)","('on',)","('airpurify',)","(812,)","('on', 'sleep')","('on',)","('on',)","('airpurify',)","(1028,)","[('setPeriodicSensingInterval', 1027), ('setFanMode>0', 'sleep')]",2,0.06554317474365234,428,435
