,prev,prev,prev,prev,next,next,next,next,plan,plan,plan,plan,plan
,"('colorControl_hue', 'colorControl_saturation')","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue', 'colorControl_saturation')","('switch',)","('switchLevel',)","('colorTemperature',)",cmds,length,time,memory_num,visited_num
0,"(0, 34)","('off',)","(18,)","(3800,)","(0, 46)","('on',)","(10,)","(7500,)","[('on', None), ('setColorTemperature>1', 7500), ('setSaturation>1', 46), ('setLevel', 10)]",4,0.022218704223632812,147,215
1,"(18, 0)","('off',)","(86,)","(5800,)","(92, 0)","('on',)","(73,)","(4300,)","[('on', None), ('setColorTemperature>1', 4300), ('setHue>1', 92), ('setLevel', 73)]",4,0.017278194427490234,93,191
2,"(16, 0)","('on',)","(3,)","(6900,)","(0, 71)","('off',)","(71,)","(8900,)","[('setColorTemperature>1', 8900), ('setSaturation>1', 71), ('setLevel', 71), ('off', None)]",4,0.028815031051635742,172,314
3,"(0, 73)","('on',)","(59,)","(7400,)","(25, 0)","('on',)","(44,)","(4800,)","[('setColorTemperature>1', 4800), ('setHue>1', 25), ('setLevel', 44)]",3,0.00745081901550293,46,99
4,"(79, 0)","('off',)","(78,)","(5300,)","(11, 0)","('on',)","(67,)","(5100,)","[('on', None), ('setColorTemperature>1', 5100), ('setHue>1', 11), ('setLevel', 67)]",4,0.00800633430480957,69,112
5,"(0, 38)","('off',)","(46,)","(6600,)","(0, 95)","('on',)","(58,)","(8400,)","[('on', None), ('setColorTemperature>1', 8400), ('setSaturation>1', 95), ('setLevel', 58)]",4,0.030183076858520508,196,321
6,"(0, 27)","('on',)","(10,)","(7400,)","(90, 0)","('off',)","(16,)","(5100,)","[('setColorTemperature>1', 5100), ('setHue>1', 90), ('setLevel', 16), ('off', None)]",4,0.014099359512329102,92,139
7,"(99, 0)","('off',)","(78,)","(4600,)","(0, 75)","('off',)","(48,)","(5300,)","[('on', None), ('setColorTemperature>1', 5300), ('setSaturation>1', 75), ('setLevel', 48), ('off', None)]",5,0.026009082794189453,176,260
8,"(0, 60)","('off',)","(3,)","(3400,)","(8, 0)","('off',)","(21,)","(7600,)","[('on', None), ('setColorTemperature>1', 7600), ('setHue>1', 8), ('setLevel', 21), ('off', None)]",5,0.0068776607513427734,55,88
9,"(0, 63)","('on',)","(75,)","(3500,)","(97, 0)","('on',)","(89,)","(5100,)","[('setColorTemperature>1', 5100), ('setHue>1', 97), ('setLevel', 89)]",3,0.018675804138183594,99,219
10,"(0, 12)","('on',)","(63,)","(8500,)","(0, 6)","('on',)","(9,)","(7800,)","[('setColorTemperature>1', 7800), ('setSaturation>1', 6), ('setLevel', 9)]",3,0.016427278518676758,108,176
11,"(0, 95)","('on',)","(40,)","(4800,)","(51, 0)","('off',)","(0,)","(6300,)","[('setColorTemperature>1', 6300), ('setHue>1', 51), ('setLevel', 0), ('off', None)]",4,0.009087324142456055,53,96
12,"(0, 86)","('on',)","(25,)","(5600,)","(86, 0)","('on',)","(3,)","(6100,)","[('setColorTemperature>1', 6100), ('setHue>1', 86), ('setLevel', 3)]",3,0.012581110000610352,88,132
13,"(0, 95)","('off',)","(1,)","(3100,)","(70, 0)","('on',)","(66,)","(5500,)","[('on', None), ('setColorTemperature>1', 5500), ('setHue>1', 70), ('setLevel', 66)]",4,0.014563560485839844,72,174
14,"(99, 0)","('on',)","(81,)","(5700,)","(0, 62)","('off',)","(22,)","(3700,)","[('setColorTemperature>1', 3700), ('setSaturation>1', 62), ('setLevel', 22), ('off', None)]",4,0.02155756950378418,163,204
15,"(0, 41)","('on',)","(6,)","(5900,)","(0, 20)","('off',)","(43,)","(2700,)","[('setColorTemperature>1', 2700), ('setSaturation>1', 20), ('setLevel', 43), ('off', None)]",4,0.017502546310424805,122,173
16,"(0, 23)","('off',)","(52,)","(6300,)","(0, 77)","('off',)","(14,)","(2700,)","[('on', None), ('setColorTemperature>1', 2700), ('setSaturation>1', 77), ('setLevel', 14), ('off', None)]",5,0.022786378860473633,178,202
17,"(63, 0)","('on',)","(95,)","(7500,)","(0, 8)","('on',)","(94,)","(6000,)","[('setColorTemperature>1', 6000), ('setSaturation>1', 8), ('setLevel', 94)]",3,0.02084827423095703,109,245
18,"(4, 0)","('off',)","(93,)","(8300,)","(0, 71)","('on',)","(72,)","(2500,)","[('on', None), ('setColorTemperature>1', 2500), ('setSaturation>1', 71), ('setLevel', 72)]",4,0.024942636489868164,172,252
19,"(0, 59)","('off',)","(94,)","(7700,)","(66, 0)","('off',)","(45,)","(3900,)","[('on', None), ('setColorTemperature>1', 3900), ('setHue>1', 66), ('setLevel', 45), ('off', None)]",5,0.012145757675170898,68,133
20,"(0, 86)","('off',)","(97,)","(6400,)","(0, 52)","('off',)","(95,)","(8100,)","[('on', None), ('setColorTemperature>1', 8100), ('setSaturation>1', 52), ('setLevel', 95), ('off', None)]",5,0.0275115966796875,154,312
21,"(0, 14)","('on',)","(82,)","(6300,)","(66, 0)","('off',)","(20,)","(7200,)","[('setColorTemperature>1', 7200), ('setHue>1', 66), ('setLevel', 20), ('off', None)]",4,0.012629032135009766,68,140
22,"(89, 0)","('on',)","(26,)","(3400,)","(0, 29)","('off',)","(73,)","(6900,)","[('setColorTemperature>1', 6900), ('setSaturation>1', 29), ('setLevel', 73), ('off', None)]",4,0.022806882858276367,130,254
23,"(55, 0)","('off',)","(46,)","(3500,)","(20, 0)","('off',)","(59,)","(2700,)","[('on', None), ('setColorTemperature>1', 2700), ('setHue>1', 20), ('setLevel', 59), ('off', None)]",5,0.007418394088745117,60,89
24,"(70, 0)","('off',)","(43,)","(7700,)","(2, 0)","('on',)","(53,)","(2700,)","[('on', None), ('setColorTemperature>1', 2700), ('setHue>1', 2), ('setLevel', 53)]",4,0.004472255706787109,54,65
25,"(0, 61)","('on',)","(3,)","(6800,)","(72, 0)","('on',)","(54,)","(5900,)","[('setColorTemperature>1', 5900), ('setHue>1', 72), ('setLevel', 54)]",3,0.014005661010742188,74,167
26,"(42, 0)","('on',)","(6,)","(2700,)","(0, 76)","('on',)","(35,)","(2500,)","[('setColorTemperature>1', 2500), ('setSaturation>1', 76), ('setLevel', 35)]",3,0.023468971252441406,177,219
27,"(22, 0)","('off',)","(68,)","(3700,)","(0, 28)","('on',)","(6,)","(6000,)","[('on', None), ('setColorTemperature>1', 6000), ('setSaturation>1', 28), ('setLevel', 6)]",4,0.018403291702270508,129,178
28,"(99, 0)","('on',)","(83,)","(7200,)","(71, 0)","('off',)","(100,)","(4900,)","[('setColorTemperature>1', 4900), ('setHue>1', 71), ('setLevel', 100), ('off', None)]",4,0.016235828399658203,101,202
29,"(56, 0)","('on',)","(17,)","(6100,)","(91, 0)","('off',)","(25,)","(7300,)","[('setColorTemperature>1', 7300), ('setHue>1', 91), ('setLevel', 25), ('off', None)]",4,0.01583099365234375,92,171
30,"(7, 0)","('off',)","(82,)","(8500,)","(0, 10)","('on',)","(27,)","(5000,)","[('on', None), ('setColorTemperature>1', 5000), ('setSaturation>1', 10), ('setLevel', 27)]",4,0.01646256446838379,111,171
31,"(56, 0)","('on',)","(0,)","(4900,)","(0, 57)","('off',)","(28,)","(2500,)","[('setColorTemperature>1', 2500), ('setSaturation>1', 57), ('setLevel', 28), ('off', None)]",4,0.020780324935913086,158,193
32,"(56, 0)","('off',)","(20,)","(4000,)","(38, 0)","('off',)","(98,)","(4300,)","[('on', None), ('setColorTemperature>1', 4300), ('setHue>1', 38), ('setLevel', 98), ('off', None)]",5,0.012325763702392578,99,162
33,"(0, 93)","('on',)","(11,)","(8700,)","(68, 0)","('on',)","(56,)","(6900,)","[('setColorTemperature>1', 6900), ('setHue>1', 68), ('setLevel', 56)]",3,0.01434016227722168,70,175
34,"(0, 90)","('on',)","(78,)","(2500,)","(69, 0)","('on',)","(52,)","(7600,)","[('setColorTemperature>1', 7600), ('setHue>1', 69), ('setLevel', 52)]",3,0.014826536178588867,71,179
35,"(0, 52)","('off',)","(90,)","(5400,)","(81, 0)","('on',)","(72,)","(4000,)","[('on', None), ('setColorTemperature>1', 4000), ('setHue>1', 81), ('setLevel', 72)]",4,0.015583515167236328,83,176
36,"(0, 75)","('on',)","(9,)","(8500,)","(77, 0)","('on',)","(89,)","(2200,)","[('setColorTemperature>1', 2200), ('setHue>1', 77), ('setLevel', 89)]",3,0.01494598388671875,90,170
37,"(0, 51)","('on',)","(72,)","(4800,)","(0, 44)","('off',)","(74,)","(3900,)","[('setColorTemperature>1', 3900), ('setSaturation>1', 44), ('setLevel', 74), ('off', None)]",4,0.022942066192626953,146,240
38,"(0, 95)","('off',)","(29,)","(2800,)","(39, 0)","('off',)","(70,)","(2800,)","[('on', None), ('setHue>1', 39), ('setLevel', 70), ('off', None)]",4,0.009824037551879883,71,114
39,"(0, 7)","('on',)","(89,)","(3600,)","(9, 0)","('off',)","(53,)","(4100,)","[('setColorTemperature>1', 4100), ('setHue>1', 9), ('setLevel', 53), ('off', None)]",4,0.00626063346862793,55,85
40,"(96, 0)","('off',)","(90,)","(2600,)","(0, 83)","('on',)","(49,)","(6800,)","[('on', None), ('setColorTemperature>1', 6800), ('setSaturation>1', 83), ('setLevel', 49)]",4,0.027659893035888672,184,284
41,"(40, 0)","('off',)","(14,)","(8100,)","(0, 100)","('on',)","(88,)","(8400,)","[('on', None), ('setColorTemperature>1', 8400), ('setSaturation>1', 100), ('setLevel', 88)]",4,0.032578229904174805,201,356
42,"(0, 17)","('off',)","(97,)","(5700,)","(0, 1)","('off',)","(91,)","(7400,)","[('on', None), ('setColorTemperature>1', 7400), ('setSaturation>1', 1), ('setLevel', 91), ('off', None)]",5,0.020854711532592773,103,250
43,"(0, 82)","('on',)","(96,)","(4300,)","(41, 0)","('on',)","(19,)","(5400,)","[('setColorTemperature>1', 5400), ('setHue>1', 41), ('setLevel', 19)]",3,0.008057594299316406,43,96
44,"(0, 17)","('on',)","(7,)","(5800,)","(0, 99)","('off',)","(81,)","(6200,)","[('setColorTemperature>1', 6200), ('setSaturation>1', 99), ('setLevel', 81), ('off', None)]",4,0.030755996704101562,200,325
45,"(37, 0)","('on',)","(71,)","(5200,)","(0, 70)","('on',)","(80,)","(3000,)","[('setColorTemperature>1', 3000), ('setSaturation>1', 70), ('setLevel', 80)]",3,0.02568197250366211,171,263
46,"(0, 28)","('on',)","(9,)","(4400,)","(94, 0)","('on',)","(56,)","(5900,)","[('setColorTemperature>1', 5900), ('setHue>1', 94), ('setLevel', 56)]",3,0.01686835289001465,96,191
47,"(69, 0)","('off',)","(71,)","(7300,)","(0, 14)","('off',)","(48,)","(7200,)","[('on', None), ('setColorTemperature>1', 7200), ('setSaturation>1', 14), ('setLevel', 48), ('off', None)]",5,0.019832134246826172,115,218
48,"(0, 99)","('off',)","(18,)","(3300,)","(0, 97)","('off',)","(93,)","(8900,)","[('on', None), ('setColorTemperature>1', 8900), ('setSaturation>1', 97), ('setLevel', 93), ('off', None)]",5,0.03279924392700195,199,363
49,"(0, 18)","('off',)","(58,)","(3100,)","(0, 74)","('off',)","(52,)","(8800,)","[('on', None), ('setColorTemperature>1', 8800), ('setSaturation>1', 74), ('setLevel', 52), ('off', None)]",5,0.02746295928955078,175,298
50,"(21, 0)","('on',)","(68,)","(2700,)","(0, 54)","('off',)","(37,)","(5900,)","[('setColorTemperature>1', 5900), ('setSaturation>1', 54), ('setLevel', 37), ('off', None)]",4,0.023066282272338867,155,233
51,"(0, 14)","('off',)","(57,)","(6100,)","(25, 0)","('off',)","(7,)","(5700,)","[('on', None), ('setColorTemperature>1', 5700), ('setHue>1', 25), ('setLevel', 7), ('off', None)]",5,0.006365299224853516,37,72
52,"(75, 0)","('on',)","(28,)","(6700,)","(0, 82)","('off',)","(55,)","(4600,)","[('setColorTemperature>1', 4600), ('setSaturation>1', 82), ('setLevel', 55), ('off', None)]",4,0.026706933975219727,183,266
53,"(0, 61)","('on',)","(21,)","(8900,)","(88, 0)","('on',)","(11,)","(7000,)","[('setColorTemperature>1', 7000), ('setHue>1', 88), ('setLevel', 11)]",3,0.014039278030395508,90,151
54,"(0, 79)","('on',)","(88,)","(4100,)","(39, 0)","('on',)","(65,)","(8300,)","[('setColorTemperature>1', 8300), ('setHue>1', 39), ('setLevel', 65)]",3,0.012486457824707031,67,169
55,"(25, 0)","('off',)","(60,)","(3500,)","(44, 0)","('on',)","(22,)","(7600,)","[('on', None), ('setColorTemperature>1', 7600), ('setHue>1', 44), ('setLevel', 22)]",4,0.010149002075195312,55,125
56,"(17, 0)","('off',)","(78,)","(6200,)","(0, 43)","('off',)","(10,)","(4200,)","[('on', None), ('setColorTemperature>1', 4200), ('setSaturation>1', 43), ('setLevel', 10), ('off', None)]",5,0.01931619644165039,144,179
57,"(94, 0)","('on',)","(13,)","(4800,)","(0, 96)","('on',)","(78,)","(6100,)","[('setColorTemperature>1', 6100), ('setSaturation>1', 96), ('setLevel', 78)]",3,0.029999732971191406,197,318
58,"(68, 0)","('off',)","(55,)","(8300,)","(0, 37)","('off',)","(80,)","(8400,)","[('on', None), ('setColorTemperature>1', 8400), ('setSaturation>1', 37), ('setLevel', 80), ('off', None)]",5,0.025734663009643555,138,285
59,"(4, 0)","('off',)","(74,)","(6100,)","(9, 0)","('off',)","(86,)","(7200,)","[('on', None), ('setColorTemperature>1', 7200), ('setHue>1', 9), ('setLevel', 86), ('off', None)]",5,0.01007080078125,87,150
60,"(0, 11)","('on',)","(54,)","(4200,)","(0, 56)","('off',)","(49,)","(6700,)","[('setColorTemperature>1', 6700), ('setSaturation>1', 56), ('setLevel', 49), ('off', None)]",4,0.024105310440063477,157,255
