,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('switch', 'airConditionerFanMode')","('custom.periodicSensing_periodicSensing',)","('custom.doNotDisturbMode',)","('custom.periodicSensing_automaticExecutionMode',)","('custom.periodicSensing_periodicSensingInterval',)","('custom.periodicSensing_periodicSensing',)","('custom.doNotDisturbMode',)","('custom.periodicSensing_automaticExecutionMode',)","('custom.periodicSensing_periodicSensingInterval',)","('switch', 'airConditionerFanMode')",cmds,length,time,memory_num,visited_num
0,"('on', 'smart')","('on',)","('on',)","('airpurify',)","(2432,)","('on',)","('on',)","('airpurify',)","(2179,)","('on', 'smart')","[('setPeriodicSensingInterval', 2179)]",1,0.2370913028717041,1581,1584
1,"('off', 'smart')","('on',)","('on',)","('airpurify',)","(655,)","('on',)","('on',)","('airpurify',)","(2135,)","('off', 'smart')","[('on>0', None), ('setPeriodicSensingInterval', 2135), ('off>0', None)]",3,0.23157620429992676,1536,1545
2,"('on', 'max')","('off',)","('off',)","('alarm',)","(941,)","('on',)","('off',)","('alarm',)","(2879,)","('on', 'max')","[('periodicSensingOn', None), ('setPeriodicSensingInterval', 2879)]",2,0.3404817581176758,2280,2284
3,"('on', 'windfree')","('on',)","('on',)","('alarm',)","(1248,)","('on',)","('on',)","('alarm',)","(1705,)","('on', 'windfree')","[('setPeriodicSensingInterval', 1705)]",1,0.16536808013916016,1106,1110
4,"('on', 'sleep')","('on',)","('on',)","('airpurify',)","(2514,)","('on',)","('on',)","('airpurify',)","(1357,)","('on', 'sleep')","[('setPeriodicSensingInterval', 1357)]",1,0.1147458553314209,759,762
5,"('on', 'smart')","('on',)","('off',)","('airpurify',)","(1162,)","('off',)","('off',)","('airpurify',)","(2628,)","('on', 'smart')","[('periodicSensingOff', None), ('setPeriodicSensingInterval', 2628)]",2,0.30571985244750977,2029,2033
6,"('on', 'max')","('off',)","('off',)","('alarm',)","(1412,)","('off',)","('off',)","('alarm',)","(2949,)","('on', 'max')","[('setPeriodicSensingInterval', 2949)]",1,0.35050272941589355,2350,2354
7,"('on', 'max')","('off',)","('off',)","('airpurify',)","(2654,)","('off',)","('off',)","('airpurify',)","(1528,)","('on', 'max')","[('setPeriodicSensingInterval', 1528)]",1,0.13964080810546875,930,933
8,"('on', 'sleep')","('on',)","('on',)","('airpurify',)","(2359,)","('off',)","('on',)","('airpurify',)","(2966,)","('on', 'sleep')","[('periodicSensingOff', None), ('setPeriodicSensingInterval', 2966)]",2,0.3553917407989502,2367,2371
9,"('off', 'smart')","('off',)","('off',)","('alarm',)","(2154,)","('off',)","('off',)","('alarm',)","(1378,)","('off', 'smart')","[('on>0', None), ('setPeriodicSensingInterval', 1378), ('off>0', None)]",3,0.11979842185974121,780,788
