,prev,prev,prev,prev,next,next,next,next,plan,plan,plan,plan,plan
,"('colorControl_hue', 'colorControl_saturation')","('switch',)","('switchLevel',)","('colorTemperature',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue', 'colorControl_saturation')",cmds,length,time,memory_num,visited_num
0,"(25, 0)","('off',)","(77,)","(8900,)","('on',)","(70,)","(8900,)","(10, 0)","[('on', None), ('setHue', 10), ('setLevel', 70)]",3,0.006022930145263672,72,85
1,"(83, 0)","('on',)","(43,)","(8800,)","('on',)","(22,)","(8800,)","(0, 13)","[('setSaturation', 13), ('setLevel', 22)]",2,0.014681577682495117,114,140
2,"(7, 0)","('on',)","(80,)","(7700,)","('on',)","(80,)","(8200,)","(0, 78)","[('setColorTemperature', 8200), ('setSaturation', 78)]",2,0.024233102798461914,179,243
3,"(0, 49)","('off',)","(32,)","(5100,)","('on',)","(66,)","(5100,)","(78, 0)","[('on', None), ('setHue', 78), ('setLevel', 66)]",3,0.013497591018676758,80,149
4,"(0, 34)","('off',)","(43,)","(2500,)","('on',)","(34,)","(5000,)","(90, 0)","[('on', None), ('setColorTemperature', 5000), ('setHue', 90), ('setLevel', 34)]",4,0.014601469039916992,92,157
5,"(0, 80)","('off',)","(8,)","(8300,)","('on',)","(76,)","(5600,)","(26, 0)","[('on', None), ('setColorTemperature', 5600), ('setHue', 26), ('setLevel', 76)]",4,0.010168075561523438,77,141
6,"(29, 0)","('on',)","(63,)","(2600,)","('on',)","(97,)","(5600,)","(81, 0)","[('setColorTemperature', 5600), ('setHue', 81), ('setLevel', 97)]",3,0.017433643341064453,98,216
7,"(0, 30)","('on',)","(74,)","(3200,)","('on',)","(23,)","(4200,)","(0, 81)","[('setColorTemperature', 4200), ('setSaturation', 81), ('setLevel', 23)]",3,0.02371072769165039,182,229
8,"(75, 0)","('off',)","(9,)","(2300,)","('on',)","(77,)","(7800,)","(56, 0)","[('on', None), ('setColorTemperature', 7800), ('setHue', 56), ('setLevel', 77)]",4,0.014987468719482422,78,194
9,"(0, 95)","('off',)","(45,)","(4300,)","('on',)","(4,)","(4900,)","(0, 31)","[('on', None), ('setColorTemperature', 4900), ('setSaturation', 31), ('setLevel', 4)]",4,0.017564773559570312,133,168
10,"(0, 91)","('off',)","(45,)","(8100,)","('on',)","(31,)","(7700,)","(81, 0)","[('on', None), ('setColorTemperature', 7700), ('setHue', 81), ('setLevel', 31)]",4,0.015041828155517578,83,172
11,"(98, 0)","('on',)","(37,)","(4400,)","('on',)","(53,)","(4400,)","(0, 82)","[('setSaturation', 82), ('setLevel', 53)]",2,0.024315595626831055,183,240
12,"(0, 86)","('on',)","(95,)","(5800,)","('on',)","(94,)","(5800,)","(3, 0)","[('setHue', 3), ('setLevel', 94)]",2,0.006390571594238281,96,101
13,"(100, 0)","('off',)","(11,)","(8900,)","('on',)","(37,)","(8900,)","(0, 82)","[('on', None), ('setSaturation', 82), ('setLevel', 37)]",3,0.023813247680664062,183,225
14,"(0, 54)","('on',)","(83,)","(5000,)","('on',)","(16,)","(5000,)","(17, 0)","[('setHue', 17), ('setLevel', 16)]",2,0.0033080577850341797,19,37
15,"(0, 98)","('off',)","(8,)","(7500,)","('on',)","(14,)","(6600,)","(0, 31)","[('on', None), ('setColorTemperature', 6600), ('setSaturation', 31), ('setLevel', 14)]",4,0.0192563533782959,133,195
16,"(79, 0)","('on',)","(92,)","(3500,)","('on',)","(92,)","(3200,)","(0, 48)","[('setColorTemperature', 3200), ('setSaturation', 48)]",2,0.017940044403076172,149,163
17,"(0, 59)","('off',)","(90,)","(4600,)","('on',)","(74,)","(4500,)","(0, 14)","[('on', None), ('setColorTemperature', 4500), ('setSaturation', 14), ('setLevel', 74)]",4,0.01967310905456543,116,217
18,"(0, 76)","('off',)","(42,)","(2200,)","('on',)","(5,)","(2200,)","(0, 71)","[('on', None), ('setSaturation', 71), ('setLevel', 5)]",3,0.020599842071533203,173,182
19,"(0, 80)","('off',)","(29,)","(4100,)","('on',)","(29,)","(2900,)","(44, 0)","[('on', None), ('setColorTemperature', 2900), ('setHue', 44)]",3,0.006131887435913086,46,56
20,"(0, 83)","('off',)","(67,)","(7600,)","('on',)","(67,)","(8500,)","(85, 0)","[('on', None), ('setColorTemperature', 8500), ('setHue', 85)]",3,0.013988733291625977,87,153
21,"(32, 0)","('on',)","(38,)","(4800,)","('on',)","(41,)","(4800,)","(0, 87)","[('setSaturation', 87), ('setLevel', 41)]",2,0.024209260940551758,188,233
22,"(61, 0)","('on',)","(1,)","(3100,)","('on',)","(37,)","(4300,)","(8, 0)","[('setColorTemperature', 4300), ('setHue', 8), ('setLevel', 37)]",3,0.004858255386352539,38,70
23,"(0, 83)","('on',)","(27,)","(8800,)","('on',)","(27,)","(8200,)","(0, 8)","[('setColorTemperature', 8200), ('setSaturation', 8)]",2,0.016495704650878906,110,173
24,"(21, 0)","('on',)","(34,)","(3600,)","('on',)","(100,)","(5000,)","(62, 0)","[('setColorTemperature', 5000), ('setHue', 62), ('setLevel', 100)]",3,0.015417337417602539,101,194
25,"(18, 0)","('on',)","(81,)","(8900,)","('on',)","(25,)","(8900,)","(48, 0)","[('setHue', 48), ('setLevel', 25)]",2,0.0075016021728515625,49,77
26,"(30, 0)","('off',)","(85,)","(3600,)","('on',)","(26,)","(7900,)","(71, 0)","[('on', None), ('setColorTemperature', 7900), ('setHue', 71), ('setLevel', 26)]",4,0.014024496078491211,72,159
27,"(0, 1)","('off',)","(59,)","(4700,)","('on',)","(47,)","(4700,)","(0, 10)","[('on', None), ('setSaturation', 10), ('setLevel', 47)]",3,0.01627659797668457,111,163
28,"(96, 0)","('off',)","(21,)","(3900,)","('on',)","(21,)","(3900,)","(0, 78)","[('on', None), ('setSaturation', 78)]",2,0.020906448364257812,179,184
29,"(0, 92)","('on',)","(40,)","(7000,)","('on',)","(36,)","(2300,)","(0, 93)","[('setColorTemperature', 2300), ('setSaturation', 93), ('setLevel', 36)]",3,0.025011062622070312,194,235
30,"(8, 0)","('on',)","(96,)","(5100,)","('on',)","(17,)","(5100,)","(21, 0)","[('setHue', 21), ('setLevel', 17)]",2,0.003798961639404297,22,42
31,"(0, 100)","('on',)","(15,)","(5000,)","('on',)","(9,)","(3100,)","(0, 55)","[('setColorTemperature', 3100), ('setSaturation', 55), ('setLevel', 9)]",3,0.01933121681213379,157,178
32,"(0, 74)","('off',)","(76,)","(3500,)","('on',)","(38,)","(5500,)","(84, 0)","[('on', None), ('setColorTemperature', 5500), ('setHue', 84), ('setLevel', 38)]",4,0.01461648941040039,86,160
33,"(0, 77)","('on',)","(70,)","(3700,)","('on',)","(74,)","(3900,)","(0, 1)","[('setColorTemperature', 3900), ('setSaturation', 1), ('setLevel', 74)]",3,0.017535924911499023,103,197
34,"(39, 0)","('on',)","(6,)","(5600,)","('on',)","(21,)","(4700,)","(60, 0)","[('setColorTemperature', 4700), ('setHue', 60), ('setLevel', 21)]",3,0.010090351104736328,61,110
35,"(0, 0)","('off',)","(77,)","(3000,)","('on',)","(34,)","(2500,)","(91, 0)","[('on', None), ('setColorTemperature', 2500), ('setHue', 91), ('setLevel', 34)]",4,0.013376235961914062,92,133
36,"(45, 0)","('off',)","(29,)","(4600,)","('on',)","(85,)","(7800,)","(0, 76)","[('on', None), ('setColorTemperature', 7800), ('setSaturation', 76), ('setLevel', 85)]",4,0.029074668884277344,177,323
37,"(33, 0)","('on',)","(29,)","(4100,)","('on',)","(82,)","(4100,)","(0, 49)","[('setSaturation', 49), ('setLevel', 82)]",2,0.02219986915588379,150,236
38,"(3, 0)","('off',)","(55,)","(4000,)","('on',)","(68,)","(7800,)","(30, 0)","[('on', None), ('setColorTemperature', 7800), ('setHue', 30), ('setLevel', 68)]",4,0.01148843765258789,69,159
39,"(50, 0)","('off',)","(79,)","(8500,)","('on',)","(68,)","(8500,)","(53, 0)","[('on', None), ('setHue', 53), ('setLevel', 68)]",3,0.010725021362304688,70,126
40,"(27, 0)","('on',)","(31,)","(5200,)","('on',)","(31,)","(6100,)","(12, 0)","[('setColorTemperature', 6100), ('setHue', 12)]",2,0.004059314727783203,40,55
41,"(26, 0)","('on',)","(61,)","(5100,)","('on',)","(47,)","(5100,)","(63, 0)","[('setHue', 63), ('setLevel', 47)]",2,0.010370492935180664,64,114
42,"(89, 0)","('off',)","(25,)","(8900,)","('on',)","(66,)","(8500,)","(6, 0)","[('on', None), ('setColorTemperature', 8500), ('setHue', 6), ('setLevel', 66)]",4,0.009054183959960938,67,140
43,"(0, 5)","('on',)","(74,)","(4500,)","('on',)","(9,)","(5200,)","(1, 0)","[('setColorTemperature', 5200), ('setHue', 1), ('setLevel', 9)]",3,0.0029587745666503906,31,44
44,"(0, 33)","('on',)","(91,)","(3100,)","('on',)","(91,)","(8500,)","(91, 0)","[('setColorTemperature', 8500), ('setHue', 91)]",2,0.014462471008300781,93,158
45,"(0, 97)","('on',)","(64,)","(2200,)","('on',)","(19,)","(2200,)","(0, 25)","[('setSaturation', 25), ('setLevel', 19)]",2,0.015865564346313477,127,149
46,"(0, 31)","('off',)","(90,)","(7700,)","('on',)","(90,)","(7900,)","(0, 81)","[('on', None), ('setColorTemperature', 7900), ('setSaturation', 81)]",3,0.02477407455444336,182,244
47,"(100, 0)","('off',)","(34,)","(8300,)","('on',)","(34,)","(8300,)","(0, 72)","[('on', None), ('setSaturation', 72)]",2,0.020409584045410156,173,178
48,"(83, 0)","('on',)","(55,)","(6300,)","('on',)","(55,)","(4400,)","(6, 0)","[('setColorTemperature', 4400), ('setHue', 6)]",2,0.0024340152740478516,24,32
49,"(93, 0)","('on',)","(50,)","(8000,)","('on',)","(50,)","(3300,)","(0, 2)","[('setColorTemperature', 3300), ('setSaturation', 2)]",2,0.012709856033325195,103,118
50,"(72, 0)","('on',)","(33,)","(3900,)","('on',)","(51,)","(7100,)","(100, 0)","[('setColorTemperature', 7100), ('setHue', 100), ('setLevel', 51)]",3,0.017784833908081055,101,204
51,"(68, 0)","('on',)","(54,)","(3900,)","('on',)","(54,)","(3900,)","(60, 0)","[('setHue', 60)]",1,0.007153987884521484,62,64
52,"(24, 0)","('off',)","(98,)","(7400,)","('on',)","(98,)","(6300,)","(3, 0)","[('on', None), ('setColorTemperature', 6300), ('setHue', 3)]",3,0.0034637451171875,43,49
53,"(17, 0)","('on',)","(27,)","(6500,)","('on',)","(27,)","(8600,)","(0, 15)","[('setColorTemperature', 8600), ('setSaturation', 15)]",2,0.01737380027770996,116,184
54,"(0, 81)","('off',)","(26,)","(2600,)","('on',)","(74,)","(2600,)","(0, 76)","[('on', None), ('setSaturation', 76), ('setLevel', 74)]",3,0.025174617767333984,178,256
55,"(0, 88)","('off',)","(31,)","(3700,)","('on',)","(56,)","(3700,)","(87, 0)","[('on', None), ('setHue', 87), ('setLevel', 56)]",3,0.014060258865356445,89,148
56,"(3, 0)","('off',)","(74,)","(5700,)","('on',)","(59,)","(5700,)","(48, 0)","[('on', None), ('setHue', 48), ('setLevel', 59)]",3,0.00964975357055664,61,112
57,"(0, 59)","('on',)","(9,)","(3500,)","('on',)","(66,)","(6200,)","(5, 0)","[('setColorTemperature', 6200), ('setHue', 5), ('setLevel', 66)]",3,0.007318735122680664,67,115
58,"(0, 47)","('off',)","(82,)","(3500,)","('on',)","(17,)","(2500,)","(0, 3)","[('on', None), ('setColorTemperature', 2500), ('setSaturation', 3), ('setLevel', 17)]",4,0.013864994049072266,105,129
59,"(77, 0)","('off',)","(38,)","(5700,)","('on',)","(88,)","(5700,)","(90, 0)","[('on', None), ('setHue', 90), ('setLevel', 88)]",3,0.016236066818237305,91,183
60,"(6, 0)","('on',)","(21,)","(5400,)","('on',)","(40,)","(3700,)","(41, 0)","[('setColorTemperature', 3700), ('setHue', 41), ('setLevel', 40)]",3,0.00846409797668457,42,100
61,"(0, 30)","('on',)","(81,)","(8200,)","('on',)","(89,)","(8200,)","(0, 63)","[('setSaturation', 63), ('setLevel', 89)]",2,0.02417278289794922,164,257
62,"(0, 98)","('on',)","(23,)","(6500,)","('on',)","(23,)","(7500,)","(28, 0)","[('setColorTemperature', 7500), ('setHue', 28)]",2,0.006739377975463867,54,85
63,"(0, 24)","('off',)","(66,)","(3600,)","('on',)","(88,)","(2900,)","(2, 0)","[('on', None), ('setColorTemperature', 2900), ('setHue', 2), ('setLevel', 88)]",4,0.006666421890258789,89,102
64,"(95, 0)","('off',)","(26,)","(3400,)","('on',)","(92,)","(3400,)","(0, 74)","[('on', None), ('setSaturation', 74), ('setLevel', 92)]",3,0.025964021682739258,175,272
65,"(0, 37)","('on',)","(21,)","(7000,)","('on',)","(100,)","(7300,)","(0, 35)","[('setColorTemperature', 7300), ('setSaturation', 35), ('setLevel', 100)]",3,0.024753570556640625,137,291
66,"(0, 36)","('on',)","(84,)","(2600,)","('on',)","(84,)","(2600,)","(0, 82)","[('setSaturation', 82)]",1,0.02100515365600586,183,187
67,"(0, 89)","('on',)","(42,)","(3000,)","('on',)","(6,)","(7700,)","(43, 0)","[('setColorTemperature', 7700), ('setHue', 43), ('setLevel', 6)]",3,0.009040594100952148,56,108
68,"(0, 0)","('on',)","(40,)","(7800,)","('on',)","(1,)","(7800,)","(0, 44)","[('setSaturation', 44), ('setLevel', 1)]",2,0.016988039016723633,145,150
69,"(40, 0)","('on',)","(64,)","(3000,)","('on',)","(67,)","(6100,)","(0, 97)","[('setColorTemperature', 6100), ('setSaturation', 97), ('setLevel', 67)]",3,0.029113054275512695,198,308
70,"(0, 2)","('off',)","(96,)","(4200,)","('on',)","(70,)","(4200,)","(0, 100)","[('on', None), ('setSaturation', 100), ('setLevel', 70)]",3,0.02767658233642578,201,276
71,"(0, 5)","('off',)","(49,)","(7000,)","('on',)","(1,)","(7000,)","(65, 0)","[('on', None), ('setHue', 65), ('setLevel', 1)]",3,0.008160114288330078,67,71
72,"(12, 0)","('off',)","(10,)","(8000,)","('on',)","(74,)","(8000,)","(43, 0)","[('on', None), ('setHue', 43), ('setLevel', 74)]",3,0.009975194931030273,75,122
73,"(74, 0)","('off',)","(0,)","(4700,)","('on',)","(0,)","(6300,)","(25, 0)","[('on', None), ('setColorTemperature', 6300), ('setHue', 25)]",3,0.005941152572631836,42,71
74,"(65, 0)","('off',)","(27,)","(7500,)","('on',)","(12,)","(6600,)","(0, 99)","[('on', None), ('setColorTemperature', 6600), ('setSaturation', 99), ('setLevel', 12)]",4,0.0267794132232666,200,261
75,"(0, 41)","('off',)","(9,)","(8500,)","('on',)","(55,)","(7500,)","(0, 53)","[('on', None), ('setColorTemperature', 7500), ('setSaturation', 53), ('setLevel', 55)]",4,0.024907827377319336,154,267
76,"(53, 0)","('on',)","(10,)","(4600,)","('on',)","(7,)","(4000,)","(53, 0)","[('setColorTemperature', 4000), ('setLevel', 7)]",2,0.001813650131225586,20,29
77,"(0, 82)","('on',)","(22,)","(3000,)","('on',)","(7,)","(6900,)","(0, 50)","[('setColorTemperature', 6900), ('setSaturation', 50), ('setLevel', 7)]",3,0.02082347869873047,152,209
78,"(0, 11)","('on',)","(73,)","(7000,)","('on',)","(40,)","(5700,)","(17, 0)","[('setColorTemperature', 5700), ('setHue', 17), ('setLevel', 40)]",3,0.00686335563659668,42,96
79,"(75, 0)","('off',)","(35,)","(6500,)","('on',)","(98,)","(6500,)","(56, 0)","[('on', None), ('setHue', 56), ('setLevel', 98)]",3,0.012893915176391602,99,159
80,"(0, 99)","('on',)","(50,)","(6100,)","('on',)","(45,)","(6900,)","(0, 63)","[('setColorTemperature', 6900), ('setSaturation', 63), ('setLevel', 45)]",3,0.024539709091186523,165,260
81,"(79, 0)","('on',)","(65,)","(4800,)","('on',)","(70,)","(4800,)","(0, 70)","[('setSaturation', 70), ('setLevel', 70)]",2,0.02402782440185547,171,245
82,"(0, 94)","('on',)","(74,)","(3200,)","('on',)","(74,)","(3200,)","(0, 85)","[('setSaturation', 85)]",1,0.021403789520263672,187,190
83,"(28, 0)","('on',)","(22,)","(5400,)","('on',)","(14,)","(5400,)","(0, 60)","[('setSaturation', 60), ('setLevel', 14)]",2,0.019498109817504883,161,179
84,"(0, 54)","('on',)","(27,)","(3700,)","('on',)","(99,)","(3700,)","(0, 60)","[('setSaturation', 60), ('setLevel', 99)]",2,0.02446746826171875,161,264
85,"(51, 0)","('on',)","(72,)","(8100,)","('on',)","(29,)","(3000,)","(0, 7)","[('setColorTemperature', 3000), ('setSaturation', 7), ('setLevel', 29)]",3,0.015020370483398438,108,149
86,"(0, 72)","('off',)","(70,)","(8600,)","('on',)","(59,)","(5200,)","(0, 46)","[('on', None), ('setColorTemperature', 5200), ('setSaturation', 46), ('setLevel', 59)]",4,0.02278280258178711,148,241
87,"(0, 4)","('off',)","(16,)","(5900,)","('on',)","(34,)","(3000,)","(0, 68)","[('on', None), ('setColorTemperature', 3000), ('setSaturation', 68), ('setLevel', 34)]",4,0.022600173950195312,169,216
88,"(0, 7)","('off',)","(78,)","(3300,)","('on',)","(2,)","(5900,)","(0, 9)","[('on', None), ('setColorTemperature', 5900), ('setSaturation', 9), ('setLevel', 2)]",4,0.015653133392333984,110,154
89,"(47, 0)","('off',)","(50,)","(3000,)","('on',)","(85,)","(3000,)","(0, 91)","[('on', None), ('setSaturation', 91), ('setLevel', 85)]",3,0.02792835235595703,192,282
90,"(14, 0)","('on',)","(38,)","(5800,)","('on',)","(56,)","(5800,)","(0, 54)","[('setSaturation', 54), ('setLevel', 56)]",2,0.02132439613342285,155,215
91,"(2, 0)","('on',)","(57,)","(2200,)","('on',)","(24,)","(4500,)","(0, 58)","[('setColorTemperature', 4500), ('setSaturation', 58), ('setLevel', 24)]",3,0.02130126953125,159,210
92,"(78, 0)","('off',)","(84,)","(6600,)","('on',)","(65,)","(6600,)","(59, 0)","[('on', None), ('setHue', 59), ('setLevel', 65)]",3,0.011226892471313477,67,129
93,"(0, 75)","('on',)","(10,)","(8900,)","('on',)","(50,)","(8900,)","(33, 0)","[('setHue', 33), ('setLevel', 50)]",2,0.007222652435302734,51,87
94,"(0, 31)","('off',)","(90,)","(3000,)","('on',)","(35,)","(3000,)","(0, 41)","[('on', None), ('setSaturation', 41), ('setLevel', 35)]",3,0.018964529037475586,142,182
95,"(0, 54)","('on',)","(6,)","(6400,)","('on',)","(61,)","(6300,)","(0, 15)","[('setColorTemperature', 6300), ('setSaturation', 15), ('setLevel', 61)]",3,0.019719600677490234,117,222
96,"(0, 14)","('off',)","(91,)","(4900,)","('on',)","(21,)","(4900,)","(0, 9)","[('on', None), ('setSaturation', 9), ('setLevel', 21)]",3,0.014533519744873047,111,136
97,"(1, 0)","('off',)","(90,)","(2900,)","('on',)","(90,)","(3000,)","(0, 74)","[('on', None), ('setColorTemperature', 3000), ('setSaturation', 74)]",3,0.020968198776245117,175,188
98,"(54, 0)","('on',)","(23,)","(6400,)","('on',)","(19,)","(8000,)","(6, 0)","[('setColorTemperature', 8000), ('setHue', 6), ('setLevel', 19)]",3,0.005769014358520508,59,87
99,"(65, 0)","('on',)","(6,)","(2900,)","('on',)","(77,)","(7600,)","(68, 0)","[('setColorTemperature', 7600), ('setHue', 68), ('setLevel', 77)]",3,0.015937089920043945,78,203
100,"(66, 0)","('on',)","(51,)","(6200,)","('on',)","(38,)","(8900,)","(51, 0)","[('setColorTemperature', 8900), ('setHue', 51), ('setLevel', 38)]",3,0.012603759765625,68,160
101,"(0, 46)","('on',)","(35,)","(3800,)","('on',)","(35,)","(3700,)","(0, 0)","[('setColorTemperature', 3700), ('setHue', 0)]",2,0.0013282299041748047,17,19
102,"(0, 79)","('off',)","(95,)","(7300,)","('on',)","(27,)","(8000,)","(10, 0)","[('on', None), ('setColorTemperature', 8000), ('setHue', 10), ('setLevel', 27)]",4,0.0069675445556640625,59,100
103,"(0, 12)","('off',)","(21,)","(4200,)","('on',)","(21,)","(3900,)","(24, 0)","[('on', None), ('setColorTemperature', 3900), ('setHue', 24)]",3,0.0044460296630859375,26,46
104,"(88, 0)","('on',)","(82,)","(7000,)","('on',)","(5,)","(3900,)","(49, 0)","[('setColorTemperature', 3900), ('setHue', 49), ('setLevel', 5)]",3,0.007412910461425781,51,75
105,"(0, 56)","('on',)","(29,)","(3100,)","('on',)","(64,)","(3100,)","(93, 0)","[('setHue', 93), ('setLevel', 64)]",2,0.014790058135986328,95,161
106,"(48, 0)","('on',)","(13,)","(4900,)","('on',)","(77,)","(4900,)","(0, 20)","[('setSaturation', 20), ('setLevel', 77)]",2,0.018740415573120117,121,202
107,"(18, 0)","('off',)","(35,)","(3100,)","('on',)","(3,)","(3100,)","(0, 95)","[('on', None), ('setSaturation', 95), ('setLevel', 3)]",3,0.02330183982849121,196,204
108,"(0, 99)","('off',)","(47,)","(2200,)","('on',)","(2,)","(2200,)","(0, 16)","[('on', None), ('setSaturation', 16), ('setLevel', 2)]",3,0.014113426208496094,118,124
109,"(0, 55)","('off',)","(97,)","(2300,)","('on',)","(64,)","(6900,)","(66, 0)","[('on', None), ('setColorTemperature', 6900), ('setHue', 66), ('setLevel', 64)]",4,0.014807462692260742,68,182
110,"(87, 0)","('off',)","(41,)","(7100,)","('on',)","(69,)","(7100,)","(87, 0)","[('on', None), ('setLevel', 69)]",2,0.004506111145019531,70,74
111,"(0, 45)","('on',)","(10,)","(8900,)","('on',)","(44,)","(8900,)","(14, 0)","[('setHue', 14), ('setLevel', 44)]",2,0.004599571228027344,45,62
112,"(0, 14)","('on',)","(58,)","(4700,)","('on',)","(6,)","(4700,)","(55, 0)","[('setHue', 55), ('setLevel', 6)]",2,0.007082223892211914,57,65
